article,chemical,count,dbName,dbId
PMC3915084,"monoterpenes",17,,35187
PMC3915084,"terpenes",10,,35186
PMC3915084,"citral",10,,23316
PMC3915084,"pinene",10,,17187
PMC3915084,"sesquiterpenes",8,,35189
PMC3915084,"Limonene",7,,15384
PMC3915084,"monoterpenoids",6,,25409
PMC3915084,"Tween 80",5,,53426
PMC3915084,"water",5,,15377
PMC3915084,"terpenoides",4,,26873
PMC3915084,"trans-geraniol",4,,17447
PMC3915084,"myrcene",3,,17221
PMC3915084,"carvone",3,,38265
PMC3915084,"1-terpinen-4-ol",3,,78884
PMC3915084,"hydrocinnamic acid",3,,28631
PMC3915084,"caryophyllene",2,,10357
PMC3915084,"farnesol",2,,42680
PMC3915084,"isopropyl",2,,30353
PMC3915084,"myristate",2,,30807
PMC3915084,"trans-citral",2,,16980
PMC3915084,"Glucose",1,,42758
PMC3915084,"dimethylpolysiloxane",1,,61468
PMC3915084,"Helium",1,,33681
PMC3915084,"dichloromethane",1,,15767
PMC3915084,"pinocarveol",1,,26137
PMC3915084,"fatty acid ester",1,,35748
PMC3920264,"trichothecene",16,,55517
PMC3920264,"Deoxynivalenol",12,,10022
PMC3920264,"methanol",12,,44520
PMC3920264,"acetyl",7,,46887
PMC3920264,"hydroxyl groups",5,,43176
PMC3920264,"oxygen",5,,25805
PMC3920264,"carbonyl",5,,23019
PMC3920264,"hydride",3,,29239
PMC3920264,"(+)-carvone",3,,15399
PMC3920264,"epoxy group",3,,30721
PMC3920264,"(+)-cis-carveol",3,,232
PMC3920264,"nivalenol",2,,7599
PMC3920264,"ketones",2,,17087
PMC3920264,"cerium",2,,33369
PMC3920264,"acetyl groups",2,,40574
PMC3920264,"carvone",2,,38265
PMC3920264,"silica",2,,30563
PMC3920264,"dichloromethane",2,,15767
PMC3920264,"hexane",2,,29021
PMC3920264,"ester",1,,35701
PMC3920264,"alcohols",1,,30879
PMC3920264,"chloride",1,,17996
PMC3920264,"pyran ring",1,,52848
PMC3920264,"borohydride",1,,30157
PMC3920264,"hydrogen",1,,49637
PMC3920264,"methyl",1,,32875
PMC3920264,"ammonium",1,,28938
PMC3920264,"molybdate",1,,36264
PMC3920264,"ethanol",1,,44730
PMC3920264,"sulfuric acid",1,,26836
PMC3920264,"Flash",1,,52107
PMC3920264,"Pyridine",1,,16227
PMC3920264,"acetic anhydride",1,,36610
PMC3953398,"Arecoline",46,,2814
PMC3953398,"copolymers",6,,60804
PMC3953398,"hydrobromide",6,,48367
PMC3953398,"terpenes",5,,35186
PMC3953398,"limonene",4,,15384
PMC3953398,"cineole",4,,27961
PMC3953398,"carvone",4,,38265
PMC3953398,"polyvinylpyrrolidone",3,,53248
PMC3953398,"polyethylene glycols",3,,46793
PMC3953398,"ethanol",3,,44730
PMC3953398,"aluminum",2,,49470
PMC3953398,"teflon",2,,53251
PMC3953398,"methyl",1,,32875
PMC3953398,"1,2,5,6-tetrahydropyridine",1,,47860
PMC3953398,"carbonic acid",1,,28976
PMC3953398,"methyl ester",1,,25248
PMC3953398,"alkaloid",1,,22315
PMC3953398,"ether",1,,35702
PMC3953398,"citric acid",1,,30769
PMC3953398,"dichloromethane",1,,15767
PMC3953398,"isopropyl alcohol",1,,17824
PMC3953398,"polyethylene",1,,60034
PMC3953398,"water",1,,15377
PMC3953398,"sodium",1,,29101
PMC3953398,"phosphoric acid",1,,26078
PMC3953398,"methanol",1,,44520
PMC3953398,"glycerin",1,,17754
PMC3953398,"sorbitol",1,,30911
PMC3953398,"isoprene",1,,35194
PMC3953398,"alfuzosin",1,,51141
PMC3953398,"bufalin",1,,517248
PMC3953398,"meloxicam",1,,6741
PMC3953398,"propranolol",1,,8499
PMC3953398,"tamoxifen",1,,41774
PMC3953398,"hydroxyl group",1,,43176
PMC3953398,"hydrogen",1,,49637
PMC3953398,"lipid",1,,18059
PMC3954529,"Radical",23,,26519
PMC3954529,"Alkaloids",16,,22315
PMC3954529,"Aminyl",14,,29318
PMC3954529,"enone",10,,51689
PMC3954529,"olefin",8,,33641
PMC3954529,"lactone",5,,25000
PMC3954529,"hydrogen atom",5,,49637
PMC3954529,"carvone",3,,38265
PMC3954529,"toluene",3,,17578
PMC3954529,"tertiary amine",2,,32876
PMC3954529,"alkyne",2,,22339
PMC3954529,"amine",2,,32952
PMC3954529,"nitrogen",2,,25555
PMC3954529,"carbonyl",2,,23019
PMC3954529,"pyrrolidine",2,,33135
PMC3954529,"benzyl",2,,22744
PMC3954529,"tributyltin",2,,27086
PMC3954529,"hydride",2,,29239
PMC3954529,"chloride",2,,17996
PMC3954529,"squalene",1,,15440
PMC3954529,"carbon",1,,33415
PMC3954529,"fulvene",1,,51999
PMC3954529,"amino",1,,46882
PMC3954529,"cyclohexanone",1,,17854
PMC3954529,"lactol",1,,38131
PMC3954529,"amino alcohol",1,,22478
PMC3954529,"methylene chloride",1,,15767
PMC3954529,"vinyl",1,,37603
PMC3954529,"amidyl",1,,48373
PMC3954529,"benzothiazole",1,,45993
PMC3954529,"vinyl chloride",1,,28509
PMC3954529,"benzene",1,,16716
PMC3961117,"carvone",17,,38265
PMC3961117,"methicillin",7,,6827
PMC3961117,"gentamicin",3,,17833
PMC3961117,"monoterpenes",2,,35187
PMC3961117,"water",1,,15377
PMC3961117,"lactam",1,,24995
PMC3961117,"hydroxymethyl",1,,24712
PMC3961117,"aminomethane",1,,16830
PMC3961117,"sodium azide",1,,278547
PMC3961117,"peptidoglycan",1,,8005
PMC3961117,"Triton",1,,29234
PMC3961117,"dicyclohexylcarbodiimide",1,,53090
PMC3961117,"lipopolysaccharide",1,,16412
PMC3961117,"glycerol",1,,17754
PMC3961117,"cation",1,,36916
PMC3961117,"aminoglycoside antibiotic",1,,22507
PMC3961117,"monoterpenoids",1,,25409
PMC3977348,"proteins",18,,16541
PMC3977348,"mineral",9,,46662
PMC3977348,"octanal",9,,17935
PMC3977348,"(-) carvone",9,,15400
PMC3977348,"acetophenone",7,,27632
PMC3977348,"(+) carvone",7,,15399
PMC3977348,"water",5,,15377
PMC3977348,"and p",5,,73329
PMC3977348,"Cy3",3,,37990
PMC3977348,"Hoechst 33258",3,,52082
PMC3977348,"butyl",2,,41264
PMC3977348,"butyrate",2,,17968
PMC3977348,"(+) limonene",2,,15382
PMC3977348,"digoxigenin",1,,42098
PMC3977348,"Bromodeoxyuridine",1,,472552
PMC3977348,"paraformaldehyde",1,,61538
PMC3977348,"diethyl pyrocarbonate",1,,59051
PMC3977348,"sucrose",1,,17992
PMC3977348,"sodium borate",1,,75227
PMC3977348,"tetramethylrhodamine",1,,52282
PMC3977348,"isothiocyanate",1,,52221
PMC3977348,"Delta",1,,36375
PMC3977348,"kynurenic acid",1,,18344
PMC3977348,"bore",1,,27560
PMC3977348,"Triton",1,,29234
PMC3977348,"salt",1,,26710
PMC3977348,"penicillin",1,,51356
PMC3977348,"streptomycin",1,,58007
PMC3977348,"oligonucleotides",1,,7754
PMC3977348,"2-glycerophosphate",1,,17270
PMC3977348,"nitrocellulose",1,,53325
PMC3977348,"neomycin",1,,7507
PMC3977348,"G418",1,,42768
PMC4005389,"fenchone",4,,4999
PMC4005389,"eugenol",3,,4917
PMC4005389,"limonene",3,,15384
PMC4005389,"sodium",2,,29101
PMC4005389,"isoamylacetate",2,,31725
PMC4005389,"anethole",2,,35616
PMC4005389,"carvone",2,,38265
PMC4005389,"aldehyde",2,,17478
PMC4005389,"acetaldehyde",2,,43923
PMC4005389,"citronellal",2,,47856
PMC4005389,"ethanol",2,,44730
PMC4005389,"cation",1,,36916
PMC4005389,"biotin",1,,57586
PMC4005389,"2-phenyl ethanol",1,,49000
PMC4005389,"(+)carvone",1,,15399
PMC4005389,"linalool",1,,17580
PMC4005389,"eucalyptol",1,,27961
PMC4005389,"Teflon",1,,53251
PMC4005389,"bicarbonate",1,,17544
PMC4005389,"a primary alcohol",1,,15734
PMC4005389,"Ca2+",1,,29108
PMC4005389,"n-butanol",1,,28885
PMC4005389,"phenyl",1,,30396
PMC4005389,"ethyl",1,,62801
PMC4005389,"terpineol",1,,26876
PMC4005389,"benzaldehyde",1,,17169
PMC4005389,"toluene",1,,17578
PMC4005389,"capsaicin",1,,3374
PMC4005389,"nucleotides",1,,36976
PMC4007251,"ammonium acetate",9,,62947
PMC4007251,"acetonitrile",9,,38472
PMC4007251,"water",9,,15377
PMC4007251,"methanol",8,,44520
PMC4007251,"trans cinnamaldehyde",5,,16731
PMC4007251,"eugenol",5,,4917
PMC4007251,"benzaldehyde",5,,17169
PMC4007251,"terpineol",3,,26876
PMC4007251,"linalool",3,,17580
PMC4007251,"myrcene",3,,17221
PMC4007251,"pinene",3,,17187
PMC4007251,"acetate",3,,47622
PMC4007251,"terpenoids",2,,26873
PMC4007251,"cinnamyl alcohol",2,,17177
PMC4007251,"benzyl benzoate",2,,41237
PMC4007251,"caryophyllene",2,,10357
PMC4007251,"limonene",2,,15384
PMC4007251,"trans cinnamic acid",2,,35697
PMC4007251,"carvone",2,,38265
PMC4007251,"carveol",2,,23046
PMC4007251,"terpinen-4-ol",2,,78884
PMC4007251,"geraniol",2,,17447
PMC4007251,"methyl eugenol",2,,4918
PMC4007251,"cinnamyl acetate",1,,31402
PMC4007251,"1,8-cineole",1,,27961
PMC4007251,"linalyl acetate",1,,6469
PMC4007251,"nerol",1,,29452
PMC4007251,"benzoic acid",1,,30746
PMC4007251,"coumarin",1,,28794
PMC4007251,"D(+)",1,,29233
PMC4007251,"(+) dihydrocarvone",1,,154
PMC4007251,"safrole",1,,8994
PMC4007251,"(+)-limonene",1,,15382
PMC4007251,"carbonyl compounds",1,,36586
PMC4007251,"esters",1,,35701
PMC4007251,"lactones",1,,25000
PMC4007251,"cyclic hydrocarbons",1,,33663
PMC4007251,"phenols",1,,15882
PMC4007251,"acetic acid",1,,15366
PMC4007251,"Sodium",1,,29101
PMC4007251,"aldehyde",1,,17478
PMC4007251,"oxygen",1,,25805
PMC4007251,"glyoxal",1,,34779
PMC4011571,"allyl",37,,30361
PMC4011571,"ketoester",29,,51847
PMC4011571,"ketones",14,,17087
PMC4011571,"Palladium",7,,33363
PMC4011571,"Trimethylsilyl",6,,51088
PMC4011571,"lactams",5,,24995
PMC4011571,"ethyl",4,,62801
PMC4011571,"carboxylate",4,,35757
PMC4011571,"fluoride",4,,29228
PMC4011571,"ester",4,,35701
PMC4011571,"ethyl Ester",2,,23990
PMC4011571,"silyl enol ethers",2,,47986
PMC4011571,"enol",2,,33823
PMC4011571,"oxocyclohexane",2,,17854
PMC4011571,"methyl carbonate",2,,36596
PMC4011571,"benzyl",2,,22744
PMC4011571,"amino",2,,46882
PMC4011571,"silyl",1,,30560
PMC4011571,"ketene",1,,48003
PMC4011571,"acetals",1,,59769
PMC4011571,"oxygen",1,,25805
PMC4011571,"methyl",1,,32875
PMC4011571,"methyl iodide",1,,39282
PMC4011571,"bromide",1,,15858
PMC4011571,"tetrabutylammonium",1,,45825
PMC4011571,"toluene",1,,17578
PMC4011571,"sulfonates",1,,33543
PMC4011571,"acetates",1,,47622
PMC4011571,"tridecane",1,,35998
PMC4011571,"carbonyl",1,,23019
PMC4011571,"fluoro",1,,42645
PMC4011571,"methyl ester",1,,25248
PMC4011571,"aryl groups",1,,33338
PMC4011571,"carvone",1,,38265
PMC4011571,"chloro",1,,47853
PMC4011571,"enone",1,,51689
PMC4011571,"diastereomeric mixture",1,,60915
PMC4015331,"limonene",7,,15384
PMC4015331,"pinene",6,,17187
PMC4015331,"carvone",6,,38265
PMC4015331,"(+)-limonene",3,,15382
PMC4015331,"terpinen-4-ol",3,,78884
PMC4015331,"p-menthane",2,,25826
PMC4015331,"vanillin",2,,18346
PMC4015331,"rubber",2,,60185
PMC4015331,"2,3-butanediol",2,,62064
PMC4015331,"1-phenylethanol",2,,669
PMC4015331,"3-carene",2,,35661
PMC4015331,"carveol",2,,23046
PMC4015331,"menthone",2,,36503
PMC4015331,"borneol",2,,28093
PMC4015331,"linalool",2,,17580
PMC4015331,"citronellol",2,,50462
PMC4015331,"trans-caryophyllene",2,,10357
PMC4015331,"2-butanol",2,,45475
PMC4015331,"camphene",2,,3830
PMC4015331,"thujone",2,,9577
PMC4015331,"fenchone",2,,4999
PMC4015331,"menthyl acetate",2,,104
PMC4015331,"1-phenylethylamine",2,,670
PMC4015331,"terpineol",2,,26876
PMC4015331,"ibuprofen",2,,5855
PMC4015331,"Teflon",2,,53251
PMC4015331,"polyimide",1,,61484
PMC4015331,"polydimethylsiloxane",1,,61468
PMC4015331,"(+)-carvone",1,,15399
PMC4017146,"hept",39,,43060
PMC4017146,"water",9,,15377
PMC4017146,"carvone",4,,38265
PMC4017146,"limonene",4,,15384
PMC4017146,"methyl benzoate",2,,72775
PMC4017146,"isoamyl acetate",2,,31725
PMC4017146,"cumene",2,,34656
PMC4017146,"ethyl",1,,62801
PMC4017146,"benzoate",1,,16150
PMC4017146,"magenta",1,,82336
PMC4065700,"Nisin",27,,71629
PMC4065700,"water",17,,15377
PMC4065700,"nanofibers",13,,52518
PMC4065700,"chitosan",11,,16261
PMC4065700,"Thymol",10,,27607
PMC4065700,"carvacrol",9,,3440
PMC4065700,"lipid",8,,18059
PMC4065700,"Eugenol",6,,4917
PMC4065700,"proteins",6,,16541
PMC4065700,"cinnamaldehyde",5,,16731
PMC4065700,"lecithin",5,,73002
PMC4065700,"cellulose",5,,18246
PMC4065700,"Tween 80",4,,53426
PMC4065700,"alginate",4,,58187
PMC4065700,"limonene",3,,15384
PMC4065700,"surfactin",3,,29681
PMC4065700,"sodium",3,,29101
PMC4065700,"anethole",3,,35616
PMC4065700,"carvone",3,,38265
PMC4065700,"phospholipids",3,,16247
PMC4065700,"poloxamers",2,,53515
PMC4065700,"peptide",2,,16670
PMC4065700,"polysaccharide",2,,18154
PMC4065700,"nanostructures",1,,50795
PMC4065700,"polyelectrolytes",1,,61446
PMC4065700,"esters",1,,35701
PMC4065700,"glycerol",1,,17754
PMC4065700,"estragole",1,,4867
PMC4065700,"molds",1,,59963
PMC4065700,"streptomycin",1,,58007
PMC4065700,"benzoate",1,,16150
PMC4065700,"iron",1,,18248
PMC4065700,"poly(vinyl alcohol)",1,,60030
PMC4065700,"acetate",1,,47622
PMC4065700,"hydrochloride",1,,36807
PMC4065700,"carrageenan",1,,3435
PMC4065700,"zinc",1,,30185
PMC4065700,"calcium",1,,29320
PMC4065700,"hydrocarbon",1,,24632
PMC4065700,"hydroxypropyl methylcellulose",1,,30618
PMC4065700,"hydroxyethyl cellulose",1,,85249
PMC4065700,"dimethyl",1,,42266
PMC4065700,"ammonium chloride",1,,31206
PMC4065700,"copolymer",1,,60804
PMC4065700,"chitin",1,,17029
PMC4065700,"quaternary ammonium",1,,35267
PMC4065700,"vinyl",1,,37603
PMC4065700,"pyrrolidone",1,,36592
PMC4065700,"polylysine",1,,61488
PMC4065700,"Biopolymers",1,,33694
PMC4079982,"sucrose",43,,17992
PMC4079982,"water",36,,15377
PMC4079982,"carvone",28,,38265
PMC4079982,"suc",11,,37952
PMC4079982,"Geraniol",9,,17447
PMC4079982,"eugenol",9,,4917
PMC4079982,"limonene",8,,15384
PMC4079982,"saccharin",6,,32111
PMC4079982,"mineral",3,,46662
PMC4079982,"Plexiglas",2,,61369
PMC4079982,"lithium chloride",1,,48607
PMC4079982,"polypropylene",1,,53550
PMC4097962,"monoterpene",60,,35187
PMC4097962,"pinene",31,,17187
PMC4097962,"limonene",29,,15384
PMC4097962,"hydroxy",26,,43176
PMC4097962,"Water",24,,15377
PMC4097962,"carbon",20,,33415
PMC4097962,"oxygen",17,,25805
PMC4097962,"1,8-cineole",16,,27961
PMC4097962,"geraniol",13,,17447
PMC4097962,"linalool",12,,17580
PMC4097962,"terpineol",12,,26876
PMC4097962,"p-cymene",11,,28768
