article,efo,count,dbName,dbId
PMC3915084,"Strains",29,,EFO_0005135
PMC3915084,"fruit",5,,EFO_0001028
PMC3915084,"skin",2,,EFO_0000962
PMC3915084,"media",2,,EFO_0000579
PMC3915084,"European",1,,EFO_0003156
PMC3915084,"temperature",1,,EFO_0001702
PMC3915084,"survival",1,,EFO_0000714
PMC3920264,"precursors",6,,EFO_0001651
PMC3920264,"fast",4,,EFO_0002756
PMC3920264,"procedure",1,,EFO_0002571
PMC3920264,"temperature",1,,EFO_0001702
PMC3920264,"data file",1,,EFO_0004095
PMC3953398,"skin",16,,EFO_0000962
PMC3953398,"software",4,,EFO_0002029
PMC3953398,"acid",2,,EFO_0004416
PMC3953398,"Chinese",1,,EFO_0003157
PMC3953398,"procedure",1,,EFO_0002571
PMC3953398,"Measurement",1,,EFO_0001444
PMC3953398,"weight",1,,EFO_0004338
PMC3953398,"substrate",1,,EFO_0005061
PMC3953398,"pump",1,,EFO_0000836
PMC3953398,"dose",1,,EFO_0000428
PMC3954529,"substrate",8,,EFO_0005061
PMC3954529,"L1210",1,,EFO_0005284
PMC3954529,"temperature",1,,EFO_0001702
PMC3961117,"strains",17,,EFO_0005135
PMC3961117,"pathogen",2,,EFO_0000643
PMC3961117,"exposure",2,,EFO_0000487
PMC3961117,"metabolites",1,,EFO_0004727
PMC3961117,"seed",1,,EFO_0000991
PMC3961117,"American",1,,EFO_0003151
PMC3961117,"sterile",1,,EFO_0000545
PMC3961117,"saline",1,,EFO_0002677
PMC3977348,"stem",49,,EFO_0001040
PMC3977348,"bulb",38,,EFO_0001048
PMC3977348,"adult",20,,EFO_0001272
PMC3977348,"differentiated",14,,EFO_0002954
PMC3977348,"dentate gyrus",9,,EFO_0001366
PMC3977348,"cages",9,,EFO_0004181
PMC3977348,"software",8,,EFO_0002029
PMC3977348,"genotype",7,,EFO_0000513
PMC3977348,"deletion",4,,EFO_0004014
PMC3977348,"labeling",4,,EFO_0000562
PMC3977348,"chip",4,,EFO_0004176
PMC3977348,"dorsal",4,,EFO_0001656
PMC3977348,"lateral ventricles",3,,EFO_0003562
PMC3977348,"mg/kg",3,,EFO_0002902
PMC3977348,"transfection",3,,EFO_0000726
PMC3977348,"wood",3,,EFO_0001042
PMC3977348,"Bone",2,,EFO_0000298
PMC3977348,"ventral",2,,EFO_0001662
PMC3977348,"lateral",2,,EFO_0001657
PMC3977348,"pool",2,,EFO_0000663
PMC3977348,"hippocampus",1,,EFO_0000530
PMC3977348,"recombination",1,,EFO_0004293
PMC3977348,"strain",1,,EFO_0005135
PMC3977348,"exon",1,,EFO_0004423
PMC3977348,"Genotyping",1,,EFO_0000750
PMC3977348,"pathogen",1,,EFO_0000643
PMC3977348,"procedures",1,,EFO_0002571
PMC3977348,"European",1,,EFO_0003156
PMC3977348,"saline",1,,EFO_0002677
PMC3977348,"Heights",1,,EFO_0004339
PMC3977348,"temperature",1,,EFO_0001702
PMC3977348,"weight",1,,EFO_0004338
PMC3977348,"survival",1,,EFO_0000714
PMC3977348,"caudal",1,,EFO_0001908
PMC3977348,"proximal",1,,EFO_0001661
PMC3977348,"postnatal",1,,EFO_0002948
PMC3977348,"basal",1,,EFO_0001654
PMC3977348,"filaments",1,,EFO_0005102
PMC4005389,"pain",82,,EFO_0003843
PMC4005389,"genotype",30,,EFO_0000513
PMC4005389,"cold",21,,EFO_0000341
PMC4005389,"bulb",6,,EFO_0001048
PMC4005389,"test results",6,,EFO_0000720
PMC4005389,"measurements",6,,EFO_0001444
PMC4005389,"cohort",4,,EFO_0004445
