article,gene_protein,count,dbName,dbId
PMC3915084,"Gies",9,,
PMC3915084,"MIC",6,,
PMC3915084,"C31",2,,
PMC3915084,"Art 1",2,,
PMC3920264,"NMR",24,,
PMC3920264,"C-14",4,,
PMC3920264,"CH2",3,,
PMC3920264,"C-16",3,,
PMC3920264,"IFA",2,,
PMC3920264,"neurotoxin",1,,
PMC3920264,"PHS",1,,
PMC3920264,"S30",1,,
PMC3920264,"DRX",1,,
PMC3920264,"DPX",1,,
PMC3920264,"ppm",1,,
PMC3920264,"S13",1,,
PMC3920264,"S12",1,,
PMC3920264,"S24",1,,
PMC3920264,"S18",1,,
PMC3920264,"S22",1,,
PMC3953398,"ERS",8,,
PMC3953398,"F10",1,,
PMC3953398,"F11",1,,
PMC3953398,"F12",1,,
PMC3953398,"F13",1,,
PMC3953398,"F14",1,,
PMC3953398,"F16",1,,
PMC3953398,"F18",1,,
PMC3953398,"F24",1,,
PMC3954529,"ASAP",1,,
PMC3954529,"nerve growth factor",1,,
PMC3954529,"NCS",1,,
PMC3954529,"endo",1,,
PMC3954529,"Bth",1,,
PMC3954529,"plus",1,,
PMC3954529,"pdt",1,,
PMC3961117,"DPS",17,,
PMC3961117,"MIC",12,,
PMC3961117,"plus",9,,
PMC3961117,"MICA",2,,
PMC3961117,"MICB",2,,
PMC3961117,"penicillin-binding proteins",1,,
PMC3961117,"PBPs",1,,
PMC3961117,"mecA",1,,
PMC3961117,"Tris",1,,
PMC3977348,"Tis21",197,,
PMC3977348,"GFP",61,,
PMC3977348,"BMP4",50,,
PMC3977348,"Id3",41,,
PMC3977348,"DCX",40,,
PMC3977348,"glial fibrillary acidic protein",21,,
PMC3977348,"Notch",20,,
PMC3977348,"P60",19,,
PMC3977348,"BMPs",17,,
PMC3977348,"Hes1",14,,
PMC3977348,"cyclins D1",14,,
PMC3977348,"PC3",9,,
PMC3977348,"NCAM",9,,
PMC3977348,"Calretinin",9,,
PMC3977348,"NeuroD1",8,,
PMC3977348,"Hes5",8,,
PMC3977348,"cyclins",6,,
PMC3977348,"Smad1",6,,
PMC3977348,"Id1",6,,
PMC3977348,"PSA",5,,
PMC3977348,"Mash1",5,,
PMC3977348,"Olig2",5,,
PMC3977348,"Notch1",5,,
PMC3977348,"RBPJ",4,,
PMC3977348,"Smad8",4,,
PMC3977348,"P71",4,,
PMC3977348,"Caspase-3",4,,
PMC3977348,"luciferase",4,,
PMC3977348,"Id2",4,,
PMC3977348,"Jmy",4,,
PMC3977348,"GCL",4,,
PMC3977348,"Ids",3,,
PMC3977348,"Delta1",3,,
PMC3977348,"F12",3,,
PMC3977348,"P74",3,,
PMC3977348,"Btg2",2,,
PMC3977348,"Smad4",2,,
PMC3977348,"CBP",2,,
PMC3977348,"SP6",2,,
PMC3977348,"TATA",2,,
PMC3977348,"cyclin A2",2,,
PMC3977348,"Cxcl3",2,,
PMC3977348,"Efna4",2,,
PMC3977348,"Dlx2",1,,
PMC3977348,"Shh",1,,
PMC3977348,"Noggin",1,,
PMC3977348,"CREB-binding protein",1,,
PMC3977348,"P46",1,,
PMC3977348,"P64",1,,
PMC3977348,"Tek",1,,
PMC3977348,"SP5",1,,
PMC3977348,"trypsin",1,,
PMC3977348,"hyaluronidase",1,,
PMC3977348,"bFGF",1,,
PMC3977348,"growth factors",1,,
PMC3977348,"Tris",1,,
PMC3977348,"P-40",1,,
PMC3977348,"protease inhibitors 1",1,,
PMC3977348,"peroxidase",1,,
PMC3977348,"plus",1,,
PMC3977348,"cyclin D2",1,,
PMC3977348,"Cxcl12",1,,
PMC3977348,"Pag1",1,,
PMC3977348,"E proteins",1,,
PMC3977348,"Bai",1,,
PMC3977348,"actin",1,,
PMC3977348,"AraC",1,,
PMC4005389,"TRPA1",70,,
PMC4005389,"VAS",11,,
PMC4005389,"TDI",7,,
PMC4005389,"TRPV1",6,,
PMC4005389,"Nav1",2,,
PMC4005389,"EZ1",2,,
PMC4005389,"plus",1,,
PMC4005389,"PEA",1,,
PMC4005389,"SPL",1,,
PMC4005389,"CPT",1,,
PMC4005389,"SCN9A",1,,
PMC4005389,"OPRD1",1,,
PMC4005389,"COMT",1,,
PMC4005389,"TRPV3",1,,
PMC4005389,"PLC",1,,
PMC4005389,"bradykinin",1,,
PMC4005389,"BK2",1,,
PMC4005389,"SPNs",1,,
PMC4007251,"CRF",12,,
PMC4007251,"ATPA",10,,
PMC4007251,"CVN",9,,
PMC4007251,"TPN",7,,
PMC4007251,"PNN",6,,
PMC4007251,"CP6",5,,
PMC4007251,"RS6",4,,
PMC4007251,"CP1",3,,
PMC4007251,"unk",3,,
PMC4007251,"CCF",2,,
PMC4007251,"CP5",2,,
PMC4007251,"MLS",1,,
PMC4007251,"ACD",1,,
PMC4007251,"CP2",1,,
PMC4007251,"CP3",1,,
PMC4007251,"CP4",1,,
PMC4007251,"Rs6",1,,
PMC4007251,"SST",1,,
PMC4011571,"ee",8,,
PMC4011571,"CH2",5,,
PMC4011571,"LDA",1,,
PMC4011571,"NMR",1,,
PMC4015331,"ee",8,,
PMC4015331,"TCI",1,,
PMC4015331,"septa",1,,
PMC4015331,"Nat",1,,
PMC4017146,"cyc",11,,
PMC4017146,"dpt",1,,
PMC4017146,"atm",1,,
PMC4017146,"ACD",1,,
PMC4017146,"stats",1,,
PMC4017146,"plus",1,,
PMC4017146,"odorant binding protein",1,,
PMC4065700,"MIC",5,,
PMC4065700,"SLN",5,,
PMC4065700,"lactoferrin",3,,
PMC4065700,"PVA",3,,
PMC4065700,"bacteriocin",2,,
PMC4065700,"ppm",1,,
PMC4065700,"pea",1,,
PMC4065700,"lipopeptide",1,,
PMC4065700,"MBC",1,,
PMC4065700,"antimicrobial peptides",1,,
PMC4097962,"NADH",18,,
PMC4097962,"DCL",9,,
PMC4097962,"1,8-cineole 2-endo-monooxygenase",7,,
PMC4097962,"endo",6,,
PMC4097962,"PAO1",5,,
PMC4097962,"en-2",4,,
PMC4097962,"Carveol dehydrogenase",4,,
PMC4097962,"3,6",4,,
PMC4097962,"(S)-limonene 6-monooxygenase",3,,
PMC4097962,"aldehyde dehydrogenase",3,,
PMC4097962,"Avil",3,,
PMC4097962,"5-exo-hydroxycamphor dehydrogenase",3,,
PMC4097962,"limonene hydroxylase",3,,
PMC4097962,"CYM",3,,
PMC4097962,"MPN",2,,
PMC4097962,"CIP",2,,
PMC4097962,"Monocyclic monoterpene ketone monooxygenase",2,,
PMC4097962,"Limonene 1,2-monooxygenase",2,,
PMC4097962,"prop-1",2,,
PMC4097962,"limonene-1,2-epoxide hydrolase",2,,
PMC4097962,"Geranial dehydrogenase",2,,
PMC4097962,"outer membrane protein",2,,
PMC4097962,"CmtB",2,,
PMC4097962,"CmtG",2,,
PMC4097962,"putidaredoxin",2,,
PMC4097962,"2,5-diketocamphane 1,2-monooxygenase",2,,
PMC4097962,"ferredoxin",2,,
PMC4097962,"linalool dehydratase-isomerase",2,,
PMC4097962,"PF1",1,,
PMC4097962,"Geraniol dehydrogenase",1,,
PMC4097962,"alcohol dehydrogenase",1,,
PMC4097962,"Acetyl-CoA synthetase",1,,
PMC4097962,"Cmt",1,,
PMC4097962,"2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase",1,,
PMC4097962,"MT-2",1,,
PMC4097962,"Acetaldehyde dehydrogenase",1,,
PMC4097962,"CmtH",1,,
PMC4097962,"Atu",1,,
PMC4097962,"Camphor 5-monooxygenase",1,,
PMC4097962,"CoA synthase",1,,
PMC4097962,"P18.3",1,,
PMC4097962,"GS1",1,,
PMC4097962,"acetyl coenzyme A synthetase",1,,
PMC4097962,"ferredoxin reductase",1,,
PMC4097962,"laccases",1,,
PMC4097962,"enoyl-CoA hydratase",1,,
PMC4115348,"VAS",6,,
PMC4115348,"oxytocin",2,,
PMC4115348,"Boo",1,,
PMC4115348,"PGF2",1,,
PMC4156257,"ee",7,,
PMC4156257,"sp2",4,,
PMC4156257,"DMA",2,,
PMC4156257,"tert",2,,
PMC4156257,"SFC",2,,
PMC4156257,"Lewis",1,,
PMC4157029,"cholinesterase",1,,
PMC4157029,"Gol",1,,
PMC4157029,"SIM",1,,
PMC4161876,"A10",31,,
PMC4161876,"OR51E1",19,,
PMC4161876,"TPM",17,,
PMC4161876,"HEK",13,,
PMC4161876,"OR2L13",13,,
PMC4161876,"green fluorescent protein",9,,
PMC4161876,"plus",5,,
PMC4161876,"Adcy3",4,,
PMC4161876,"gsc",3,,
PMC4161876,"cntrl",2,,
PMC4161876,"OR51E2",2,,
PMC4161876,"OR4C15",2,,
PMC4161876,"actin",2,,
PMC4161876,"OR10AD1",2,,
