article,go_term,count,dbName,dbId
PMC3915084,"Growth",22,,0040007
PMC3915084,"mucous",2,,0070701
PMC3915084,"membranes",2,,0016020
PMC3915084,"secretions",1,,0046903
PMC3915084,"cells",1,,0005623
PMC3920264,"formation",9,,0009058
PMC3920264,"uptake",2,,0098657
PMC3920264,"protein synthesis",1,,0006412
PMC3920264,"fermentation",1,,0006113
PMC3953398,"cell",2,,0005623
PMC3953398,"hood",1,,1990343
PMC3953398,"memory",1,,0007613
PMC3953398,"transport",1,,0006810
PMC3953398,"drug transport",1,,0015893
PMC3954529,"Synthesis",3,,0009058
PMC3954529,"cell",2,,0005623
PMC3954529,"antioxidant activity",1,,0016209
PMC3961117,"growth",11,,0040007
PMC3961117,"cells",6,,0005623
PMC3961117,"cytoplasmic membrane",4,,0005886
PMC3961117,"membrane",3,,0016020
PMC3961117,"ribosome",2,,0005840
PMC3961117,"metabolism",1,,0008152
PMC3961117,"cell division",1,,0051301
PMC3961117,"cell death",1,,0008219
PMC3977348,"cells",173,,0005623
PMC3977348,"cell cycle",18,,0007049
PMC3977348,"neurogenesis",15,,0022008
PMC3977348,"memory",13,,0007613
PMC3977348,"antibodies",13,,0042571
PMC3977348,"habituation",10,,0046959
PMC3977348,"dishabituation",7,,0097270
PMC3977348,"signaling",4,,0023052
PMC3977348,"binding",4,,0005488
PMC3977348,"learning",2,,0007612
PMC3977348,"olfactory behavior",1,,0042048
PMC3977348,"mitosis",1,,0007067
PMC3977348,"digestion",1,,0007586
PMC3977348,"nucleus",1,,0005634
PMC3977348,"intracellular",1,,0005622
PMC3977348,"Neuroblast migration",1,,0097402
PMC3977348,"behaviors",1,,0007610
PMC4005389,"olfaction",8,,0007608
PMC4005389,"nociception",5,,0019233
PMC4005389,"reproduction",2,,0000003
PMC4005389,"cells",1,,0005623
PMC4005389,"translation",1,,0006412
PMC4005389,"calcium signaling",1,,0019722
PMC4005389,"hypersensitivity",1,,0002524
PMC4005389,"chromosome",1,,0005694
PMC4005389,"responses to pain",1,,0048265
PMC4005389,"localization",1,,0051179
PMC4007251,"degradation",2,,0009056
PMC4007251,"behaviour",2,,0007610
PMC4011571,"synthesis",10,,0009058
PMC4015331,"formation",2,,0009058
PMC4015331,"cell",1,,0005623
PMC4015331,"behaviour",1,,0007610
PMC4017146,"olfaction",2,,0007608
PMC4017146,"learning",2,,0007612
PMC4017146,"degradation",1,,0009056
PMC4017146,"social behavior",1,,0035176
PMC4065700,"growth",13,,0040007
PMC4065700,"cell",8,,0005623
PMC4065700,"membrane",6,,0016020
PMC4065700,"cell membrane",4,,0005886
PMC4065700,"degradation",3,,0009056
PMC4065700,"pores",3,,0046930
PMC4065700,"synthesis",2,,0009058
PMC4065700,"interphase",1,,0051325
PMC4065700,"intracellular",1,,0005622
PMC4065700,"iron-binding",1,,0005506
PMC4065700,"cell surface",1,,0009986
PMC4065700,"micropinocytosis",1,,0044350
PMC4065700,"endocytosis",1,,0006897
PMC4065700,"pore formation",1,,0046931
PMC4079982,"learning",19,,0007612
PMC4079982,"tastes",19,,0050909
PMC4079982,"behavior",6,,0007610
PMC4079982,"disc",4,,0031264
PMC4079982,"Olfaction",2,,0007608
PMC4079982,"habituation",2,,0046959
PMC4079982,"olfactory learning",1,,0008355
PMC4079982,"drinking behavior",1,,0042756
PMC4079982,"long-term memory",1,,0007616
PMC4079982,"formation",1,,0009058
PMC4079982,"responses to food",1,,0032094
PMC4097962,"degradation",12,,0009056
PMC4097962,"formation",9,,0009058
PMC4097962,"cell",6,,0005623
PMC4097962,"monoterpene metabolism",5,,0043692
PMC4097962,"growth",5,,0040007
PMC4097962,"mineralization",4,,0031214
PMC4097962,"detoxification",3,,0098754
PMC4097962,"pinene degradation",3,,0033074
PMC4097962,"limonene degradation",3,,0046251
PMC4097962,"transports",2,,0006810
PMC4097962,"membrane",2,,0016020
PMC4097962,"excretion",1,,0007588
PMC4097962,"efflux pumps",1,,1990281
PMC4097962,"p-cumate degradation",1,,1901782
PMC4097962,"metabolism",1,,0008152
PMC4097962,"monooxygenase activity",1,,0004497
PMC4097962,"Enzyme activities",1,,0003824
PMC4097962,"limonene metabolism",1,,0018923
PMC4097962,"leucine degradation",1,,0006552
PMC4097962,"terpenoid metabolism",1,,0006721
PMC4115348,"menstruation",9,,0042703
PMC4115348,"capsule",9,,0042603
PMC4115348,"menarche",2,,0042696
PMC4115348,"myometrial contractions",2,,0070471
PMC4115348,"menstrual cycles",2,,0044850
PMC4115348,"hypersensitivity",1,,0002524
PMC4115348,"digestion",1,,0007586
PMC4115348,"synthesis",1,,0009058
PMC4115348,"intracellular",1,,0005622
PMC4156257,"formation",2,,0009058
PMC4157029,"binding",1,,0005488
PMC4157029,"nervous system development",1,,0007399
PMC4157029,"behavior",1,,0007610
PMC4157029,"cognition",1,,0050890
PMC4157029,"metabolism",1,,0008152
PMC4161876,"cell",96,,0005623
PMC4161876,"antibody",15,,0042571
PMC4161876,"Gene Expression",12,,0010467
PMC4161876,"signaling",8,,0023052
PMC4161876,"synthesis",7,,0009058
PMC4161876,"localization",4,,0051179
PMC4161876,"Membrane",3,,0016020
PMC4161876,"intracellular",2,,0005622
PMC4161876,"behavior",2,,0007610
PMC4161876,"plasma membrane",2,,0005886
PMC4161876,"taste",2,,0050909
PMC4161876,"dopamine synthesis",1,,0042416
PMC4161876,"metabolism",1,,0008152
PMC4161876,"digestion",1,,0007586
PMC4161876,"Odorants binding",1,,0005549
PMC4161876,"axon",1,,0030424
PMC4161876,"growth cone",1,,0030426
PMC4161876,"binding",1,,0005488
PMC4161876,"olfaction",1,,0007608
PMC4161876,"chemotaxis",1,,0006935
PMC4161876,"regeneration",1,,0031099
PMC4161876,"cell adhesion",1,,0007155
PMC4161876,"axon guidance",1,,0007411
PMC4161876,"transcription factor binding",1,,0008134
PMC4161876,"signal transduction",1,,0007165
PMC4202545,"cells",1,,0005623
PMC4202545,"chloride channel complex",1,,0034707
PMC4202545,"glutamate binding",1,,0016595
PMC4204956,"cell growth",16,,0016049
PMC4204956,"growth",10,,0040007
PMC4204956,"cell",9,,0005623
PMC4204956,"quorum sensing",6,,0009372
PMC4204956,"cell communication",3,,0007154
PMC4204956,"signaling",3,,0023052
PMC4204956,"degradation",2,,0009056
PMC4204956,"gene expression",1,,0010467
PMC4204956,"extracellular",1,,0005576
PMC4204956,"sporulation",1,,0043934
PMC4204956,"biofilm formation",1,,0042710
PMC4204956,"synthesis",1,,0009058
PMC4204956,"host",1,,0018995
PMC4204956,"pathogenesis",1,,0009405
PMC4204956,"antibodies",1,,0042571
PMC4204956,"binding",1,,0005488
PMC4206695,"Synthesis",15,,0009058
PMC4209970,"hosts",5,,0018995
PMC4209970,"behavior",4,,0007610
PMC4209970,"mating",2,,0007618
